

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
514.873  066.147  066.147: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/autoload/provider/python.vim
515.766  000.509  000.509: sourcing /Users/liuguangqi/.config/nvim/plugged/vaxe/autoload/vaxe/util.vim
516.513  235.441  002.285: sourcing /Users/liuguangqi/.config/nvim/plugged/vaxe/plugin/haxe.vim
517.340  000.735  000.735: sourcing /Users/liuguangqi/.config/nvim/plugged/vaxe/plugin/hxml.vim
518.597  000.566  000.566: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-js-pretty-template/plugin/jspretmpl.vim
519.615  000.587  000.587: sourcing /Users/liuguangqi/.config/nvim/plugged/rust.vim/plugin/cargo.vim
520.284  000.538  000.538: sourcing /Users/liuguangqi/.config/nvim/plugged/rust.vim/plugin/rust.vim
521.545  000.913  000.913: sourcing /Users/liuguangqi/.config/nvim/plugged/neosnippet.vim/plugin/neosnippet.vim
524.778  001.817  001.817: sourcing /Users/liuguangqi/.config/nvim/plugged/nvim-typescript/plugin/nvim_typescript.vim
531.404  004.775  004.775: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-polyglot/plugin/polyglot.vim
533.799  000.833  000.833: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/plugin/gzip.vim
534.367  000.439  000.439: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/plugin/health.vim
534.864  000.369  000.369: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/plugin/man.vim
539.573  001.316  001.316: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
539.720  004.736  003.421: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/plugin/matchit.vim
540.578  000.728  000.728: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/plugin/matchparen.vim
542.453  001.706  001.706: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/plugin/netrwPlugin.vim
546.705  001.193  001.193: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/autoload/remote/define.vim
552.974  009.670  008.477: sourcing /Users/liuguangqi/.local/share/nvim/rplugin.vim
552.993  010.293  000.623: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/plugin/rplugin.vim
554.127  000.960  000.960: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/plugin/shada.vim
554.585  000.268  000.268: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/plugin/spellfile.vim
555.534  000.734  000.734: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/plugin/tarPlugin.vim
556.593  000.869  000.869: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/plugin/tohtml.vim
557.047  000.223  000.223: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/plugin/tutor.vim
557.902  000.730  000.730: sourcing /usr/local/Cellar/neovim/0.4.4/share/nvim/runtime/plugin/zipPlugin.vim
557.934  023.093: loading plugins
558.182  000.249: loading packages
560.877  001.160  001.160: sourcing /Users/liuguangqi/.config/nvim/plugged/tabular/autoload/tabular.vim
564.395  005.699  004.539: sourcing /Users/liuguangqi/.config/nvim/plugged/tabular/after/plugin/TabularMaps.vim
566.165  000.411  000.411: sourcing /Users/liuguangqi/.config/nvim/plugged/nvim-typescript/after/plugin/nvim_typescript.vim
566.226  001.933: loading after plugins
566.245  000.019: inits 3
571.329  005.084: reading ShaDa
573.629  000.740  000.740: sourcing /Users/liuguangqi/.config/nvim/plugged/syntastic/autoload/syntastic/log.vim
573.717  001.648: opening buffers
577.425  002.030  002.030: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-polyglot/autoload/polyglot/sleuth.vim
580.234  000.364  000.364: sourcing /Users/liuguangqi/.config/nvim/plugged/LeaderF/autoload/lfMru.vim
581.882  001.149  001.149: sourcing /Users/liuguangqi/.config/nvim/plugged/lightline.vim/autoload/lightline.vim
583.239  000.435  000.435: sourcing /Users/liuguangqi/.config/nvim/plugged/lightline.vim/autoload/lightline/tab.vim
585.106  000.645  000.645: sourcing /Users/liuguangqi/.config/nvim/plugged/lightline.vim/autoload/lightline/colorscheme.vim
586.136  002.553  001.908: sourcing /Users/liuguangqi/.config/nvim/plugged/onedark.vim/autoload/lightline/colorscheme/onedark.vim
592.783  000.794  000.794: sourcing /Users/liuguangqi/.config/nvim/plugged/vim-gitgutter/autoload/gitgutter.vim
593.370  012.328: BufEnter autocommands
593.373  000.003: editing files in windows
594.105  000.732: VimEnter autocommands
594.109  000.004: UIEnter autocommands
594.113  000.005: before starting main loop
595.970  001.707  001.707: sourcing /Users/liuguangqi/.config/nvim/plugged/coc.nvim/autoload/coc/float.vim
597.508  001.688: first screen update
597.511  000.003: --- NVIM STARTED ---
